procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 1246888  66428 2133240    0    0  1006   756  597 2280 50 10 40  0  0
 0  0      0 1238580  66428 2133340    0    0     0     0  724 3720 78 11 11  0  0
 1  0      0 1221576  66428 2130708    0    0     0   348  785 3997 81 13  6  0  0
 3  0      0 1210236  66428 2130708    0    0     0     0  555 1439 44  6 50  0  0
 1  0      0 1198864  66428 2130752    0    0     0    48  623 2132 41 10 49  0  0
 0  0      0 1187272  66436 2130732    0    0     0   156  741 2254 77  4 19  0  0
 1  0      0 1177696  66436 2130732    0    0     0     0  546 1571 45  7 48  0  0
 1  0      0 1167364  66436 2130732    0    0     0    24  771 2738 82  6 12  0  0
 1  0      0 1168300  66436 2130756    0    0     0     0  624 1945 45  7 47  0  0
 1  0      0 1162044  66436 2130756    0    0     0     0  620 2081 70  6 24  0  0
 1  0      0 1153552  66436 2130756    0    0     0     0  528 1319 55  6 39  0  0
